NAME,ORPRE,ANDPRE,ORCO,ANDCO
CS 1100,,,,CS1101
CS 1101,,,,CS1100
CS 1200,,,,
CS 1210,CS2510&DS2500,,,
CS 1800,,,,CS1802
CS 1802,,,,CS1800
CS 1990,,,,
CS 2500,,,,CS2501
CS 2501,,,,CS2500
CS 2510,CS2500,,,CS2511
CS 2511,,,,CS2510
CS 2800,CS1800&MATH1365&MATH2310,CS2500,,
CS 2810,,CS1800&CS2500,,
CS 2963,,,,
CS 2990,,,,
CS 2991,,,,
CS 2992,,,,
CS 3000,CS2510&DS2500&CS1800&EECE2160,,,CS3001
CS 3001,,,,CS3000
CS 3200,CS2500&DS2000&CS1500&EECE2560,,,
CS 3500,CS2510&&CS1500&&EECE2560,,,CS3501
CS 3501,,,,CS3500
CS 3520,CS1500&CS2510&DS2500,,,
CS 3540,CS2510,,,
CS 3620,,,,
CS 3650,CS2510&CS1500&EECE2560,,,
CS 3700,,CS2510,,
CS 3800,CS1500&CS2510&EECE2160&EECE2162&EECE2164,,,
CS 3950,,cs2500,,
CS 3990,,,,
CS 4050,,,,
CS 4097,,cs3540,,
CS 4100,CS3500&DS3500,,,
CS 4120,CS3500&DS3500,,,
CS 4150,,CS3500&CS3520,,
CS 4180,ECON2350&EVNR2500&MATH3081&PSYC2320&CS2810,CS3000&MATH2331,,
CS 4200,,CS3000&CS3650,,
CS 4240,,,,
CS 4300,CS2510&CS3500&EECE2560,CS2810,,
CS 4400,CS2810&MATH2331,CS3500,,
CS 4410,CS4400&CS5400&CS7400,,,
CS 4500,,CS3500&ENGW1111,,
CS 4520,,CS3500,,
CS 4530,,CS3500,,
CS 4550,,CS3500&DS3500,,
CS 4610,,CS3500,,
CS 4700,CS3640&CS5600,,,
CS 4710,CS3700&CS4730,,,
CS 4730,,cs3650,,
CS 4805,,CS3800,,
CS 4810,,CS30000,,
CS 4820,,CS2800&CS3000,,
CS 4830,,CS3000,,
CS 4850,,CS3520&CS3540,,
CS 4950,,CS3950,,
CS 4955,,CS2500,,
CS 4970,,,,
CS 4971,,CS4970,,
CS 4973,CS3500&DS3500,CS3000,,
CS 4990,,,,
CS 4991,,,,
CS 4992,,CS3500&CS3800,,
CS 4993,,CS3500&CS3800,,
CS 4998,,,,
CS 5001,,,,CS5003
CS 5002,,,,
CS 5003,,,,CS5001
CS 5004,,CS5001&CS5002,,CS5005
CS 5005,,,,CS5004
CS 5006,,,,
CS 5007,,,,
CS 5008,,CS5001&CS5002,,CS5009
CS 5009,,,,CS5008
CS 5010,,,,CS5011
CS 5011,,,,CS5011
CS 5081,,,,
CS 5097,,,,
CS 5100,,,,
CS 5150,,,,
CS 5170,,CS5100&CS5800&CS6140,,
CS 5180,,,,
CS 5200,,,,
CS 5310,,CS2331,,
CS 5330,,CS2331,,
CS 5335,,,,
CS 5340,,,,
CS 5400,CS5010&CS5004,,,
CS 5500,CS5010&CS5004&CS5010,,,
CS 5520,,,,
CS 5600,,,,
CS 5610,,,,
CS 5700,,,,
CS 5800,,,,
CS 5850,,,,
CS 5993,,,,
CS 5934,,,,
CS 5963,,,,
CS 5964,,,,
CS 5965,,,,
CS 5976,,,,
